   ,ID,COMPANYCODE,CHINESENAME,LASTCHINESENAME,TRADITIONALCHINESENAME,LASTTRADITIONALCHINESENAME,ENGLISHNAME,LASTENGLISHNAME,BUSINESSLICENSE,COMPANYREGISTRATIONTYPES,CHINESEADDRESS,TRADITIONALADDRESS,ENGLISHADDRESS,LEGAL,DATEESTABLISHMENT,BUSINESSSCOPE,BUSINESSSTARTDATE,BUSINESSENDDATE,AUTHORISEDSHARECAPITAL,CURRENCY,COMPANYTYPE,HELD,BUSINESSCONDITIONS,GENERATIONMANAGEMENT,AUTHORISEDSHARECAPITALNUMBER,MDM_CODE,UPDATECREATEDATE
1720,4028807b32044095013204c46f980177,CRSB_0074,华润雪花啤酒（海拉尔）有限公司,,華潤雪花啤酒（海拉爾）有限公司,,,"China Resources Snow Breweries (HaiLaEr)co.,LTD",1.521E+14,中国,呼伦贝尔市海拉尔区呼伦大街26号,,,王群;王群;Wang Qun,2008/7/18,<CLOB>,2008/7/18,2058/7/17,110000000,人民币,有限责任公司,全资子公司,经营中[营运],,,,2012/6/21
1721,8ab4ffad3237a665013237a788de003d,,中国水产总公司,,中國水產總公司,,China National Fisheries Corp,,,,,,,,,<CLOB>,,,,,,,,,,,2001/10/5
1722,8ab4ffad3237a665013237a78928003e,,,,,,China National Light Industrial Products Import & Export Corporation,,,,,,,,,<CLOB>,,,,,,,,,,,2001/11/23
1723,8ab4ff98325219210132521a5a1200a3,FEALTYINV,致业投资有限公司,,致業投資有限公司,,Fealty Investments Company Limited,Fealty Investments Company Limited,,香港,,,"Room 1101-1109, 11/F., China Resources Building; 26 Harbour Road, Wanchai; Hong Kong",,1984/12/7,<CLOB>,,,,,私营股份公司,,清盘中,,6120000,,2001/12/20
1724,8ab4ff98325219210132521a5b9500a5,FERSIDELIM,,,N/A,,Fernside Limited,,,,,,,,,<CLOB>,,,,,,,,,,,
1725,8ab4ff98325219210132521b143401a0,WELLHELD,,,,,Well Held Limited,,,,,,,,,<CLOB>,,,,,,,,,,,
1726,4028807b320914fc01320a5da0fd074f,CRSB_0028,华润雪花啤酒（舒城）有限公司,华润龙津（舒城）啤酒有限公司,華潤雪花啤酒（舒城）有限公司,,,"China Resources Snow Breweries (Shu Cheng) Co., Ltd.",3.415E+14,中国,安徽省舒城县龙津大道1号,,,王群;王群;Wang Qun,2004/5/16,<CLOB>,2004/5/16,2054/5/16,70000000,人民币,有限责任公司,全资子公司,经营中[营运],,,,2012/6/6
1727,8ab4ff98325219210132521b1e1601ad,CREP_0039,,,,,Yau Choi Investments Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,1999/5/12,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,2011/11/15
1728,4028807b320914fc01320a5925bf0710,CRNF_0074,深圳市喜上喜实业有限公司,,深圳市喜上喜實業有限公司,,,,4.40301E+12,中国,广东省深圳市罗湖区清水河五路8号嘉上喜办公楼,,,王守礼;王守禮;WangShouLi,1981/8/15,<CLOB>,1981/8/15,2021/8/15,24000000,,有限责任公司,非全资子公司,经营中[营运],,,,2012/6/11
1729,8ab4ffdd3246e3d3013246ec5af40055,,,,,,Gold Verge Limited,,,,,,,,,<CLOB>,,,,,,,,,,,2007/11/14
1730,8ab4ffdd3246e3d3013246ec5b3a0056,,,,,,Good Fond Limited,,,,,,,,,<CLOB>,,,,,,,,,,,2007/11/14
1731,4028807b320914fc01320a72a4890885,CRNF_0077,深圳市鸿发家禽批发市场有限公司,,深圳市鴻發家禽批發市場有限公司,,,,4.40301E+14,中国,深圳市福田区上梅林中康路北梅林坳家禽批发市场,,,陈向军;陳向軍;,2002/2/20,<CLOB>,2002/2/20,2024/2/20,2000000,,有限责任公司,非全资子公司,经营中[营运],,,,
1732,8ab4ff98325219210132521a264f005f,CREP-PLAZA,,,,,CRE Property (Convention Plaza) Limited,Gold Plaza Properties Limited,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,1999/7/20,<CLOB>,,,,,私营公司,,已删除,,50000,,2000/5/13
