编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
SHSC000 - 上海思创服饰有限公司,SHSC000,上海思创服饰有限公司,上海思創服飾有限公司,CNY,TSI0101,ESPR人民币合计(PRC虚拟),,,7/3/2012
SJBJ000 - 北京华润思捷贸易有限公司,SJBJ000,北京华润思捷贸易有限公司,北京華潤思捷貿易有限公司,CNY,TSI0101,ESPR人民币合计(PRC虚拟),,,7/3/2012
SJDL000 - 大连华润思捷贸易有限公司,SJDL000,大连华润思捷贸易有限公司,大連華潤思捷貿易有限公司,CNY,TSI0101,ESPR人民币合计(PRC虚拟),,,7/3/2012
TSL0000 - Tactical Services Limited,TSL0000,Tactical Services Limited,Tactical Services Limited,HKD,TSI0100,Tactical Solutions Incorporated(PRC合并),,,7/3/2012
VKL0000 - 维信有限公司,VKL0000,维信有限公司,維信有限公司,HKD,TSI0100,Tactical Solutions Incorporated(PRC合并),,,7/3/2012
PUF0000 - Purple Finance Limited,PUF0000,Purple Finance Limited,Purple Finance Limited,HKD,CRE0100,华润创业有限公司(PRC合并),,,7/3/2012
CRVC180 - 华雄咨询(香港)有限公司(PRC共同父节点反冲),CRVC180,华雄咨询(香港)有限公司(PRC共同父节点反冲),華雄諮詢(香港)有限公司(PRC共同父節點反沖),HKD,CRE0100,华润创业有限公司(PRC合并),,,7/3/2012
XJC0180 - 新江城百货(江门)有限公司(PRC共同父节点反冲),XJC0180,新江城百货(江门)有限公司(PRC共同父节点反冲),新江城百貨(江門)有限公司(PRC共同父節點反沖),HKD,CRE0100,华润创业有限公司(PRC合并),,,7/3/2012
XKC0180 - 江门新开城房地产开发有限公司(PRC共同父节点反冲),XKC0180,江门新开城房地产开发有限公司(PRC共同父节点反冲),江門新開城房地產開發有限公司(PRC共同父節點反沖),CNY,CRE0100,华润创业有限公司(PRC合并),,,7/3/2012
XXC0180 - 新新城房地产开发(深圳)有限公司(PRC共同父节点反冲),XXC0180,新新城房地产开发(深圳)有限公司(PRC共同父节点反冲),新新城房地產開發(深圳)有限公司(PRC共同父節點反沖),CNY,CRE0100,华润创业有限公司(PRC合并),,,7/3/2012
GHB0100 - 华润服饰(BVI)有限公司(PRC合并),GHB0100,华润服饰(BVI)有限公司(PRC合并),"China Resources Fashion (BVI) Co.,Ltd(PRC合併)",HKD,CRH0100,华润(集团)有限公司(PRC合并),TRUE,,7/3/2012
GHB0190 - 华润服饰(BVI)有限公司(PRC虚拟节点),GHB0190,华润服饰(BVI)有限公司(PRC虚拟节点),"China Resources Fashion (BVI) Co.,Ltd(PRC虛擬節點）",HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
GRAD100 - Gradison Limited(PRC合并),GRAD100,Gradison Limited(PRC合并),Gradison Limited(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
GRAD000 - Gradison Limited,GRAD000,Gradison Limited,Gradison Limited,HKD,GRAD100,Gradison Limited(PRC合并),,,7/3/2012
CTA0100 - 华润制冷科技有限公司(PRC合并),CTA0100,华润制冷科技有限公司(PRC合并),華潤製冷科技有限公司(PRC合併),HKD,GRAD100,Gradison Limited(PRC合并),,TRUE,7/3/2012
CTA0000 - 华润制冷科技有限公司,CTA0000,华润制冷科技有限公司,華潤製冷科技有限公司,HKD,CTA0100,华润制冷科技有限公司(PRC合并),,,7/3/2012
SSCA000 - 沈阳华润三洋压缩机有限公司,SSCA000,沈阳华润三洋压缩机有限公司,瀋陽華潤三洋壓縮機有限公司,CNY,CTA0100,华润制冷科技有限公司(PRC合并),,,7/3/2012
SSS0000 - 沈阳盛润三洋压缩机有限公司,SSS0000,沈阳盛润三洋压缩机有限公司,瀋陽盛潤三洋壓縮機有限公司,CNY,CTA0100,华润制冷科技有限公司(PRC合并),,,7/3/2012
GREA100 - 得正企业有限公司(PRC合并),GREA100,得正企业有限公司(PRC合并),得正企業有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
GREA000 - 得正企业有限公司,GREA000,得正企业有限公司,得正企業有限公司,HKD,GREA100,得正企业有限公司(PRC合并),,,7/3/2012
CRTA100 - China Resources Textiles (BVI) Company Limited(PRC合并),CRTA100,China Resources Textiles (BVI) Company Limited(PRC合并),China Resources Textiles (BVI) Company Limited(PRC合併),HKD,GREA100,得正企业有限公司(PRC合并),,TRUE,7/3/2012
CRTA000 - China Resources Textiles (BVI) Company Limited,CRTA000,China Resources Textiles (BVI) Company Limited,China Resources Textiles (BVI) Company Limited,HKD,CRTA100,China Resources Textiles (BVI) Company Limited(PRC合并),,,7/3/2012
LIT0100 - 华润纺织(集团)有限公司(PRC合并),LIT0100,华润纺织(集团)有限公司(PRC合并),華潤紡織(集團)有限公司(PRC合併),HKD,CRTA100,China Resources Textiles (BVI) Company Limited(PRC合并),,TRUE,7/3/2012
LIT0001 - 华润纺织(集团)有限公司－汇总,LIT0001,华润纺织(集团)有限公司－汇总,華潤紡織(集團)有限公司－匯總,HKD,LIT0100,华润纺织(集团)有限公司(PRC合并),,TRUE,7/3/2012
LIT0050 - 华润纺织(集团)有限公司－本部,LIT0050,华润纺织(集团)有限公司－本部,華潤紡織(集團)有限公司－本部,HKD,LIT0001,华润纺织(集团)有限公司－汇总,,,7/3/2012
LIT0010 - 华润纺织(集团)有限公司－纺织,LIT0010,华润纺织(集团)有限公司－纺织,華潤紡織(集團)有限公司－紡織,HKD,LIT0001,华润纺织(集团)有限公司－汇总,,,7/3/2012
LIT0020 - 华润纺织(集团)有限公司－高支纱,LIT0020,华润纺织(集团)有限公司－高支纱,華潤紡織(集團)有限公司－高支紗,HKD,LIT0001,华润纺织(集团)有限公司－汇总,,,7/3/2012
LIT0030 - 华润纺织(集团)有限公司－印染,LIT0030,华润纺织(集团)有限公司－印染,華潤紡織(集團)有限公司－印染,HKD,LIT0001,华润纺织(集团)有限公司－汇总,,,7/3/2012
LIT0040 - 华润纺织(集团)有限公司－服装,LIT0040,华润纺织(集团)有限公司－服装,華潤紡織(集團)有限公司－服裝,HKD,LIT0001,华润纺织(集团)有限公司－汇总,,,7/3/2012
ASA0000 - 立森有限公司,ASA0000,立森有限公司,立森有限公司,HKD,LIT0100,华润纺织(集团)有限公司(PRC合并),,,7/3/2012
CBIA100 - 明大投资有限公司(PRC合并),CBIA100,明大投资有限公司(PRC合并),明大投資有限公司(PRC合併),HKD,LIT0100,华润纺织(集团)有限公司(PRC合并),,TRUE,7/3/2012
CBIA000 - 明大投资有限公司,CBIA000,明大投资有限公司,明大投資有限公司,HKD,CBIA100,明大投资有限公司(PRC合并),,,7/3/2012
BTI0100 - 明贸投资有限公司(PRC合并),BTI0100,明贸投资有限公司(PRC合并),明貿投資有限公司(PRC合併),HKD,CBIA100,明大投资有限公司(PRC合并),,TRUE,7/3/2012
BTI0000 - 明贸投资有限公司,BTI0000,明贸投资有限公司,明貿投資有限公司,HKD,BTI0100,明贸投资有限公司(PRC合并),,,7/3/2012
THF0000 - 华润纺织(合肥)有限公司,THF0000,华润纺织(合肥)有限公司,華潤紡織(合肥)有限公司,CNY,BTI0100,明贸投资有限公司(PRC合并),TRUE,,7/3/2012
THF0190 - 华润纺织(合肥)有限公司(PRC虚拟节点),THF0190,华润纺织(合肥)有限公司(PRC虚拟节点),華潤紡織(合肥)有限公司(PRC虛擬節點),CNY,BTI0100,明贸投资有限公司(PRC合并),,,7/3/2012
SWTR100 - 上海惠源达纺织有限公司(PRC合并),SWTR100,上海惠源达纺织有限公司(PRC合并),上海惠源達紡織有限公司(PRC合併),CNY,CBIA100,明大投资有限公司(PRC合并),,TRUE,7/3/2012
SWTR000 - 上海惠源达纺织有限公司,SWTR000,上海惠源达纺织有限公司,上海惠源達紡織有限公司,CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,,7/3/2012
CCRT000 - 常熟华润双猫家纺有限公司,CCRT000,常熟华润双猫家纺有限公司,常熟華潤雙貓家紡有限公司,CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,,7/3/2012
CNI0100 - 中国南洋进出口有限公司(PRC合并),CNI0100,中国南洋进出口有限公司(PRC合并),中國南洋進出口有限公司(PRC合併),CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,TRUE,7/3/2012
CNI0000 - 中国南洋进出口有限公司,CNI0000,中国南洋进出口有限公司,中國南洋進出口有限公司,CNY,CNI0100,中国南洋进出口有限公司(PRC合并),,,7/3/2012
QDHR000 - 青岛华润纺织有限公司,QDHR000,青岛华润纺织有限公司,青島華潤紡織有限公司,CNY,CNI0100,中国南洋进出口有限公司(PRC合并),,,7/3/2012
SCRH000 - 上海华润世纪纺织有限公司,SCRH000,上海华润世纪纺织有限公司,上海華潤世紀紡織有限公司,CNY,CNI0100,中国南洋进出口有限公司(PRC合并),,,7/3/2012
SHU0000 - 深圳市华姿伊实业发展有限公司,SHU0000,深圳市华姿伊实业发展有限公司,深圳市華姿伊實業發展有限公司,CNY,CNI0100,中国南洋进出口有限公司(PRC合并),TRUE,,7/3/2012
SHU0190 - 深圳市华姿伊实业发展有限公司（PRC虚拟节点）,SHU0190,深圳市华姿伊实业发展有限公司（PRC虚拟节点）,深圳市華姿伊實業發展有限公司(PRC虛擬節點）,CNY,CNI0100,中国南洋进出口有限公司(PRC合并),,,7/3/2012
SRT0000 - 上海润联贸易有限公司,SRT0000,上海润联贸易有限公司,上海潤聯貿易有限公司,CNY,CNI0100,中国南洋进出口有限公司(PRC合并),,,7/3/2012
ZRFZ100 - 中润纺织品进出口公司(PRC合并),ZRFZ100,中润纺织品进出口公司(PRC合并),中潤紡織品進出口公司(PRC合併),CNY,CNI0100,中国南洋进出口有限公司(PRC合并),,TRUE,7/3/2012
ZRFZ000 - 中润纺织品进出口公司,ZRFZ000,中润纺织品进出口公司,中潤紡織品進出口公司,CNY,ZRFZ100,中润纺织品进出口公司(PRC合并),,,7/3/2012
QDHR000 - 青岛华润纺织有限公司,QDHR000,青岛华润纺织有限公司,青島華潤紡織有限公司,CNY,ZRFZ100,中润纺织品进出口公司(PRC合并),TRUE,,7/3/2012
