编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
PRC0100 - PRC GAAP组织结构,PRC0100,PRC GAAP组织结构,PRC GAAP組織結構,CNY,PRC0100,,,TRUE,7/3/2012
CRNC100 - 中国华润总公司(PRC合并),CRNC100,中国华润总公司(PRC合并),中國華潤總公司(PRC合併),CNY,PRC0100,PRC GAAP组织结构,,TRUE,7/3/2012
CRNC000 - 中国华润总公司,CRNC000,中国华润总公司,中國華潤總公司,CNY,CRNC100,中国华润总公司(PRC合并),,,7/3/2012
BXL0000 - 北京新联协创房地产开发有限公司-已注销,BXL0000,北京新联协创房地产开发有限公司-已注销,北京新聯協創房地產開發有限公司-已登出,CNY,CRNC100,中国华润总公司(PRC合并),TRUE,,7/3/2012
CRC0100 - 华润股份有限公司(PRC合并),CRC0100,华润股份有限公司(PRC合并),華潤股份有限公司(PRC合併),CNY,CRNC100,中国华润总公司(PRC合并),,TRUE,7/3/2012
CRC0000 - 华润股份有限公司,CRC0000,华润股份有限公司,華潤股份有限公司,CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
GFSZ000 - 华润股份有限公司深圳分公司,GFSZ000,华润股份有限公司深圳分公司,華潤股份有限公司深圳分公司,CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
BFT0000 - 北京华夏货运有限公司,BFT0000,北京华夏货运有限公司,北京華夏貨運有限公司,CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
BJPM100 - 北京医药集团有限责任公司(PRC合并),BJPM100,北京医药集团有限责任公司(PRC合并),北京醫藥集團有限責任公司(PRC合併),CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
BJPM190 - 北京医药集团有限责任公司(PRC虚拟节点),BJPM190,北京医药集团有限责任公司(PRC虚拟节点),北京醫藥集團有限責任公司(PRC虛擬節點),CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
BYD0000 - 华润(保定)白洋淀管理培训学院服务有限公司,BYD0000,华润(保定)白洋淀管理培训学院服务有限公司,華潤(保定)白洋澱管理培訓學院服務有限公司,CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
CCIA100 - 中国康力克进出口有限公司(PRC合并),CCIA100,中国康力克进出口有限公司(PRC合并),中國康力克進出口有限公司(PRC合併),CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
CCIA190 - 中国康力克进出口有限公司(PRC虚拟节点),CCIA190,中国康力克进出口有限公司(PRC虚拟节点),中國康力克進出口有限公司(PRC虛擬節點),CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
CCIA180 - 中国康力克进出口有限公司(PRC共同父节点反冲),CCIA180,中国康力克进出口有限公司(PRC共同父节点反冲),中國康力克進出口有限公司(PRC共同父節點反沖),CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
CNI0100 - 中国南洋进出口有限公司(PRC合并),CNI0100,中国南洋进出口有限公司(PRC合并),中國南洋進出口有限公司(PRC合併),CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
CRH0100 - 华润(集团)有限公司(PRC合并),CRH0100,华润(集团)有限公司(PRC合并),華潤(集團)有限公司(PRC合併),HKD,CRC0100,华润股份有限公司(PRC合并),,TRUE,7/3/2012
CRH0000 - 华润(集团)有限公司,CRH0000,华润(集团)有限公司,華潤(集團)有限公司,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
ALA0000 - Argo Luck Ltd,ALA0000,Argo Luck Ltd,Argo Luck Ltd,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
APPV100 - 长春置地(PRC合并),APPV100,长春置地(PRC合并),長春置地(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
APPV000 - 长春置地,APPV000,长春置地,長春置地,HKD,APPV100,长春置地(PRC合并),,,7/3/2012
APP0100 - APP (THAILAND) LIMITED(PRC合并),APP0100,APP (THAILAND) LIMITED(PRC合并),APP (THAILAND) LIMITED(PRC合併),THB,APPV100,长春置地(PRC合并),,TRUE,7/3/2012
APP0000 - APP (THAILAND) LIMITED,APP0000,APP (THAILAND) LIMITED,APP (THAILAND) LIMITED,THB,APP0100,APP (THAILAND) LIMITED(PRC合并),,,7/3/2012
MMG0100 - MMG (Thailand) Ltd.(PRC合并),MMG0100,MMG (Thailand) Ltd.(PRC合并),MMG (Thailand) Ltd.(PRC合併),THB,APP0100,APP (THAILAND) LIMITED(PRC合并),TRUE,,7/3/2012
"ASP0100 - ALL SEASONS PROPERTY CO., LTD.(PRC合并)",ASP0100,"ALL SEASONS PROPERTY CO., LTD.(PRC合并)","ALL SEASONS PROPERTY CO., LTD.(PRC合併)",THB,APPV100,长春置地(PRC合并),,TRUE,7/3/2012
219R000 - 219 RUAM PHATHANA COMPANY LIMITED,219R000,219 RUAM PHATHANA COMPANY LIMITED,219 RUAM PHATHANA COMPANY LIMITED,THB,ASP0100,"ALL SEASONS PROPERTY CO., LTD.(PRC合并)",,,7/3/2012
"ASP0101 - ALL SEASONS PROPERTY CO., LTD.(PRC虚拟)",ASP0101,"ALL SEASONS PROPERTY CO., LTD.(PRC虚拟)","ALL SEASONS PROPERTY CO., LTD.(PRC合併)",THB,ASP0100,"ALL SEASONS PROPERTY CO., LTD.(PRC合并)",,TRUE,7/3/2012
"ASP0000 - ALL SEASONS PROPERTY CO., LTD.",ASP0000,"ALL SEASONS PROPERTY CO., LTD.","ALL SEASONS PROPERTY CO., LTD.",THB,ASP0101,"ALL SEASONS PROPERTY CO., LTD.(PRC虚拟)",,,7/3/2012
CBH0000 - Conrad Bangkok Hotel,CBH0000,Conrad Bangkok Hotel,Conrad Bangkok Hotel,THB,ASP0101,"ALL SEASONS PROPERTY CO., LTD.(PRC虚拟)",,,7/3/2012
ASPM000 - ALL SEASONS PROPERTY MANAGEMENT COMPANY LIMITED,ASPM000,ALL SEASONS PROPERTY MANAGEMENT COMPANY LIMITED,ALL SEASONS PROPERTY MANAGEMENT COMPANY LIMITED,THB,ASP0100,"ALL SEASONS PROPERTY CO., LTD.(PRC合并)",,,7/3/2012
MMG0100 - MMG (Thailand) Ltd.(PRC合并),MMG0100,MMG (Thailand) Ltd.(PRC合并),MMG (Thailand) Ltd.(PRC合併),THB,APPV100,长春置地(PRC合并),,TRUE,7/3/2012
MMG0000 - MMG (THAILAND) LIMITED,MMG0000,MMG (THAILAND) LIMITED,MMG (THAILAND) LIMITED,THB,MMG0100,MMG (Thailand) Ltd.(PRC合并),,,7/3/2012
"ASP0100 - ALL SEASONS PROPERTY CO., LTD.(PRC合并)",ASP0100,"ALL SEASONS PROPERTY CO., LTD.(PRC合并)","ALL SEASONS PROPERTY CO., LTD.(PRC合併)",THB,MMG0100,MMG (Thailand) Ltd.(PRC合并),TRUE,,7/3/2012
"ARE0000 - CR Al-Rajhi China Real Estate Growth Fund I, L.P",ARE0000,"CR Al-Rajhi China Real Estate Growth Fund I, L.P","CR Al-Rajhi China Real Estate Growth Fund I, L.P",USD,CRH0100,华润(集团)有限公司(PRC合并),TRUE,,7/3/2012
"ARE0190 - CR Al-Rajhi China Real Estate Growth Fund I, L.P(PRC虚拟节点)",ARE0190,"CR Al-Rajhi China Real Estate Growth Fund I, L.P(PRC虚拟节点)","CR Al-Rajhi China Real Estate Growth Fund I, L.P(PRC虛擬節點)",HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
BWI0100 - 盛世有限公司(PRC合并),BWI0100,盛世有限公司(PRC合并),盛世有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),TRUE,,7/3/2012
BWI0190 - 盛世有限公司(PRC虚拟节点),BWI0190,盛世有限公司(PRC虚拟节点),盛世有限公司(PRC虛擬節點),HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
CBIA100 - 明大投资有限公司(PRC合并),CBIA100,明大投资有限公司(PRC合并),明大投資有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),TRUE,,7/3/2012
CHD0100 - 华润金融控股有限公司(PRC合并),CHD0100,华润金融控股有限公司(PRC合并),華潤金融控股有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
CHD0000 - 华润金融控股有限公司,CHD0000,华润金融控股有限公司,華潤金融控股有限公司,HKD,CHD0100,华润金融控股有限公司(PRC合并),,,7/3/2012
CMA0100 - 华润资本管理有限公司(PRC合并),CMA0100,华润资本管理有限公司(PRC合并),China Resources Capital Management Limited(PRC合併),HKD,CHD0100,华润金融控股有限公司(PRC合并),,TRUE,7/3/2012
CMA0000 - 华润资本管理有限公司,CMA0000,华润资本管理有限公司,China Resources Capital Management Limited,HKD,CMA0100,华润资本管理有限公司(PRC合并),,,7/3/2012
ACM0000 - 华润亚洲资本管理有限公司,ACM0000,华润亚洲资本管理有限公司,China Resources Asia Capital Management Limited,HKD,CMA0100,华润资本管理有限公司(PRC合并),,,7/3/2012
NCB0100 - 新熙有限公司(PRC合并),NCB0100,新熙有限公司(PRC合并),NEW GENERAL LIMITED (PRC合併),HKD,CHD0100,华润金融控股有限公司(PRC合并),TRUE,,7/3/2012
NCB0190 - 新熙有限公司(PRC虚拟节点),NCB0190,新熙有限公司(PRC虚拟节点),NEW GENERAL LIMITED(PRC虛擬節點),HKD,CHD0100,华润金融控股有限公司(PRC合并),,,7/3/2012
SAA0100 - 晋鸣有限公司(PRC合并),SAA0100,晋鸣有限公司(PRC合并),SING ADVANCE LIMITED(PRC合併),HKD,CHD0100,华润金融控股有限公司(PRC合并),,TRUE,7/3/2012
SAA0000 - 晋鸣有限公司,SAA0000,晋鸣有限公司,SING ADVANCE LIMITED,HKD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
CRED000 - CR CHINA REAL ESTATE CAPITAL PARTNER LTD.,CRED000,CR CHINA REAL ESTATE CAPITAL PARTNER LTD.,CR CHINA REAL ESTATE CAPITAL PARTNER LTD.,USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
CREE000 - CR CHINA REAL ESTATE CAPITAL PARTNER II LTD.,CREE000,CR CHINA REAL ESTATE CAPITAL PARTNER II LTD.,CR CHINA REAL ESTATE CAPITAL PARTNER II LTD.,USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
"CREG000 - CR CHINA REAL ESTATE GROWTH FUND I, L.P.",CREG000,"CR CHINA REAL ESTATE GROWTH FUND I, L.P.","CR CHINA REAL ESTATE GROWTH FUND I, L.P.",USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
HCP0000 - 汉威资产管理有限公司,HCP0000,汉威资产管理有限公司,Harvest Capital Partners Limited,HKD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
HCRE000 - Harvest China Real Estate Fund II L.P.,HCRE000,Harvest China Real Estate Fund II L.P.,Harvest China Real Estate Fund II L.P.,USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
CREI000 - CR CHINA REAL ESTATE ISLAMIC CAPITAL LTD,CREI000,CR CHINA REAL ESTATE ISLAMIC CAPITAL LTD,CR CHINA REAL ESTATE ISLAMIC CAPITAL LTD,USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
"ARE0000 - CR Al-Rajhi China Real Estate Growth Fund I, L.P",ARE0000,"CR Al-Rajhi China Real Estate Growth Fund I, L.P","CR Al-Rajhi China Real Estate Growth Fund I, L.P",USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
HOII000 - Harvest Orion II (Cayman) Limited,HOII000,Harvest Orion II (Cayman) Limited,Harvest Orion II (Cayman) Limited,USD,SAA0100,晋鸣有限公司(PRC合并),,,7/3/2012
SLD0100 - 明远有限公司(PRC合并),SLD0100,明远有限公司(PRC合并),SPARKING LONG LIMITED(PRC合併),HKD,CHD0100,华润金融控股有限公司(PRC合并),,TRUE,7/3/2012
SLD0000 - 明远有限公司,SLD0000,明远有限公司,SPARKING LONG LIMITED,HKD,SLD0100,明远有限公司(PRC合并),,,7/3/2012
GPB0000 - 金凯乐有限公司,GPB0000,金凯乐有限公司,GOLD SPLENDID LIMITED,HKD,SLD0100,明远有限公司(PRC合并),,,7/3/2012
SLD0190 - 明远有限公司(PRC虚拟节点),SLD0190,明远有限公司(PRC虚拟节点),SPARKING LONG LIMITED(PRC虛擬節點),HKD,CHD0100,华润金融控股有限公司(PRC合并),,,7/3/2012
CJC0000 - 华润日本株式会社,CJC0000,华润日本株式会社,華潤日本株式會社,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
CME0000 - 大同机械企业有限公司,CME0000,大同机械企业有限公司,大同機械企業有限公司,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
CNIA100 - 正新投资有限公司(PRC合并),CNIA100,正新投资有限公司(PRC合并),正新投資有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
CNIA000 - 正新投资有限公司,CNIA000,正新投资有限公司,正新投資有限公司,HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
CFI0000 - 明信投资有限公司,CFI0000,明信投资有限公司,明信投資有限公司,HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
EBE0100 - 永商企业有限公司(PRC合并),EBE0100,永商企业有限公司(PRC合并),Ever Business Enterprises Limited(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
EBE0000 - 永商企业有限公司,EBE0000,永商企业有限公司,Ever Business Enterprises Limited,HKD,EBE0100,永商企业有限公司(PRC合并),,,7/3/2012
SFB0000 - 始茂有限公司,SFB0000,始茂有限公司,Star Favour Limited,HKD,EBE0100,永商企业有限公司(PRC合并),TRUE,,7/3/2012
SFB0100 - 始茂有限公司(PRC合并),SFB0100,始茂有限公司(PRC合并),Star Favour Limited(PRC合併),HKD,EBE0100,永商企业有限公司(PRC合并),,TRUE,7/3/2012
SFB0000 - 始茂有限公司,SFB0000,始茂有限公司,Star Favour Limited,HKD,SFB0100,始茂有限公司(PRC合并),,,7/3/2012
SSSJ000 - 深圳市三九旅游酒店有限公司,SSSJ000,深圳市三九旅游酒店有限公司,深圳市三九旅遊酒店有限公司,CNY,SFB0100,始茂有限公司(PRC合并),,,7/3/2012
ERB0100 - 致达有限公司(PRC合并),ERB0100,致达有限公司(PRC合并),EVER REACH LIMITED(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
ERB0000 - 致达有限公司,ERB0000,致达有限公司,EVER REACH LIMITED,HKD,ERB0100,致达有限公司(PRC合并),,,7/3/2012
SCD0000 - 协恒有限公司,SCD0000,协恒有限公司,SYNERY CAPITAL LIMITED,HKD,ERB0100,致达有限公司(PRC合并),TRUE,,7/3/2012
SCD0100 - 协恒有限公司(PRC合并),SCD0100,协恒有限公司(PRC合并),SYNERY CAPITAL LIMITED,HKD,ERB0100,致达有限公司(PRC合并),,TRUE,7/3/2012
SCD0000 - 协恒有限公司,SCD0000,协恒有限公司,SYNERY CAPITAL LIMITED,HKD,SCD0100,协恒有限公司(PRC合并),,,7/3/2012
SJDC000 - 新三九地产有限公司,SJDC000,新三九地产有限公司,新三九地產有限公司,CNY,SCD0100,协恒有限公司(PRC合并),,,7/3/2012
FLI0100 - 迅领投资有限公司(PRC合并),FLI0100,迅领投资有限公司(PRC合并),迅領投資有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
FLI0190 - 迅领投资有限公司(PRC虚拟节点),FLI0190,迅领投资有限公司(PRC虚拟节点),迅領投資有限公司(PRC虛擬節點),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
HEC0100 - 宏祥企业有限公司(PRC合并),HEC0100,宏祥企业有限公司(PRC合并),宏祥企業有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
HEC0000 - 宏祥企业有限公司,HEC0000,宏祥企业有限公司,宏祥企業有限公司,HKD,HEC0100,宏祥企业有限公司(PRC合并),,,7/3/2012
MCE0100 - 昌好企业有限公司(PRC合并),MCE0100,昌好企业有限公司(PRC合并),昌好企業有限公司(PRC合併),HKD,HEC0100,宏祥企业有限公司(PRC合并),,TRUE,7/3/2012
MCE0000 - 昌好企业有限公司,MCE0000,昌好企业有限公司,昌好企業有限公司,HKD,MCE0100,昌好企业有限公司(PRC合并),,,7/3/2012
EDI0100 - 益日投资有限公司(PRC合并),EDI0100,益日投资有限公司(PRC合并),益日投資有限公司(PRC合併),HKD,MCE0100,昌好企业有限公司(PRC合并),,TRUE,7/3/2012
EDI0000 - 益日投资有限公司,EDI0000,益日投资有限公司,益日投資有限公司,HKD,EDI0100,益日投资有限公司(PRC合并),,,7/3/2012
SBD0000 - 华润深圳湾发展有限公司,SBD0000,华润深圳湾发展有限公司,華潤深圳灣發展有限公司,CNY,EDI0100,益日投资有限公司(PRC合并),,,7/3/2012
SJE0100 - 明翠企业有限公司(PRC合并),SJE0100,明翠企业有限公司(PRC合并),明翠企業有限公司(PRC合併),HKD,HEC0100,宏祥企业有限公司(PRC合并),,TRUE,7/3/2012
SJE0000 - 明翠企业有限公司,SJE0000,明翠企业有限公司,明翠企業有限公司,HKD,SJE0100,明翠企业有限公司(PRC合并),,,7/3/2012
PJA0000 - 鑫远有限公司,PJA0000,鑫远有限公司,鑫遠有限公司,HKD,SJE0100,明翠企业有限公司(PRC合并),,,7/3/2012
KSI0100 - 君立投资有限公司(PRC合并),KSI0100,君立投资有限公司(PRC合并),君立投資有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
KSI0000 - 君立投资有限公司,KSI0000,君立投资有限公司,君立投資有限公司,HKD,KSI0100,君立投资有限公司(PRC合并),,,7/3/2012
LWR0000 - 华润置地(武汉)开发有限公司,LWR0000,华润置地(武汉)开发有限公司,華潤置地(武漢)開發有限公司,CNY,KSI0100,君立投资有限公司(PRC合并),TRUE,,7/3/2012
OCI0100 - 海宇投资有限公司(PRC合并),OCI0100,海宇投资有限公司(PRC合并),海宇投資有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
OCI0000 - 海宇投资有限公司,OCI0000,海宇投资有限公司,海宇投資有限公司,HKD,OCI0100,海宇投资有限公司(PRC合并),,,7/3/2012
BSI0100 - 佳景投资有限公司(PRC合并),BSI0100,佳景投资有限公司(PRC合并),佳景投資有限公司(PRC合併),HKD,OCI0100,海宇投资有限公司(PRC合并),,TRUE,7/3/2012
BSI0000 - 佳景投资有限公司,BSI0000,佳景投资有限公司,佳景投資有限公司,HKD,BSI0100,佳景投资有限公司(PRC合并),,,7/3/2012
CAS0100 - 风盛有限公司(PRC合并),CAS0100,风盛有限公司(PRC合并),風盛有限公司(PRC合併),HKD,BSI0100,佳景投资有限公司(PRC合并),,TRUE,7/3/2012
CAS0000 - 风盛有限公司,CAS0000,风盛有限公司,風盛有限公司,HKD,CAS0100,风盛有限公司(PRC合并),,,7/3/2012
LNN0000 - 华润置地(南宁)有限公司,LNN0000,华润置地(南宁)有限公司,華潤置地(南寧)有限公司,CNY,CAS0100,风盛有限公司(PRC合并),,,7/3/2012
RWE0100 - 升凯企业有限公司(PRC合并),RWE0100,升凯企业有限公司(PRC合并),升凱企業有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
RWE0190 - 升凯企业有限公司(PRC虚拟节点),RWE0190,升凯企业有限公司(PRC虚拟节点),升凱企業有限公司(PRC虛擬節點),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
RFB0100 - 彩健有限公司(PRC合并),RFB0100,彩健有限公司(PRC合并),RainBow FIT Limited(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
RFB0190 - 彩健有限公司(PRC虚拟节点),RFB0190,彩健有限公司(PRC虚拟节点),RainBow FIT Limited(PRC虛擬節點),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
SAB0100 - 耀采有限公司(PRC合并),SAB0100,耀采有限公司(PRC合并),耀采有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
SAB0000 - 耀采有限公司,SAB0000,耀采有限公司,耀采有限公司,HKD,SAB0100,耀采有限公司(PRC合并),,,7/3/2012
TRE0100 - 繁希有限公司(PRC合并),TRE0100,繁希有限公司(PRC合并),繁希有限公司(PRC合併),HKD,SAB0100,耀采有限公司(PRC合并),,TRUE,7/3/2012
TRE0000 - 繁希有限公司,TRE0000,繁希有限公司,繁希有限公司,HKD,TRE0100,繁希有限公司(PRC合并),,,7/3/2012
SHI0100 - 迅山投资有限公司(PRC合并),SHI0100,迅山投资有限公司(PRC合并),迅山投資有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
SHI0190 - 迅山投资有限公司(PRC虚拟节点),SHI0190,迅山投资有限公司(PRC虚拟节点),迅山投資有限公司(PRC虛擬節點),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
SRF0000 - 星河有限公司,SRF0000,星河有限公司,星河有限公司,HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
SRF0100 - 星河有限公司(PRC合并),SRF0100,星河有限公司(PRC合并),星河有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
SRF0000 - 星河有限公司,SRF0000,星河有限公司,星河有限公司,HKD,SRF0100,星河有限公司(PRC合并),,,7/3/2012
ECAP000 - 永冠亚太有限公司(PRC合并),ECAP000,永冠亚太有限公司(PRC合并),Ever Crown Asia Pacific LTD,HKD,SRF0100,星河有限公司(PRC合并),TRUE,,7/3/2012
ECAP100 - 永冠亚太有限公司,ECAP100,永冠亚太有限公司,Ever Crown Asia Pacific LTD(PRC合併),HKD,SRF0100,星河有限公司(PRC合并),,TRUE,7/3/2012
ECAP000 - 永冠亚太有限公司(PRC合并),ECAP000,永冠亚太有限公司(PRC合并),Ever Crown Asia Pacific LTD,HKD,ECAP100,永冠亚太有限公司,,,7/3/2012
LSDK000 - 华润置地(山东)开发有限公司,LSDK000,华润置地(山东)开发有限公司,華潤置地(山東)開發有限公司,CNY,ECAP100,永冠亚太有限公司,,,7/3/2012
SVI0100 - 迅景投资有限公司(PRC虚拟节点),SVI0100,迅景投资有限公司(PRC虚拟节点),迅景投資有限公司(PRC虛擬節點),HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
SVI0190 - 迅景投资有限公司(PRC合并),SVI0190,迅景投资有限公司(PRC合并),迅景投資有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
TVE0100 - 冠德企业有限公司(PRC合并),TVE0100,冠德企业有限公司(PRC合并),冠德企業有限公司(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
TVE0000 - 冠德企业有限公司,TVE0000,冠德企业有限公司,冠德企業有限公司,HKD,TVE0100,冠德企业有限公司(PRC合并),,,7/3/2012
BMI0100 - 美妙投资有限公司(PRC合并),BMI0100,美妙投资有限公司(PRC合并),美妙投資有限公司(PRC合併),HKD,TVE0100,冠德企业有限公司(PRC合并),,TRUE,7/3/2012
BMI0000 - 美妙投资有限公司,BMI0000,美妙投资有限公司,美妙投資有限公司,HKD,BMI0100,美妙投资有限公司(PRC合并),,,7/3/2012
VHA0100 - 祥翔有限公司(PRC合并),VHA0100,祥翔有限公司(PRC合并),祥翔有限公司(PRC合併),HKD,BMI0100,美妙投资有限公司(PRC合并),,TRUE,7/3/2012
VHA0000 - 祥翔有限公司,VHA0000,祥翔有限公司,祥翔有限公司,HKD,VHA0100,祥翔有限公司(PRC合并),,,7/3/2012
LSZB000 - 华润置地(深圳)有限公司,LSZB000,华润置地(深圳)有限公司,華潤置地(深圳)有限公司,CNY,VHA0100,祥翔有限公司(PRC合并),,,7/3/2012
GPC0100 - 绿峰有限公司(PRC合并),GPC0100,绿峰有限公司(PRC合并),GREEN PINNACLE LIMITED(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),,TRUE,7/3/2012
GPC0000 - 绿峰有限公司,GPC0000,绿峰有限公司,GREEN PINNACLE LIMITED,HKD,GPC0100,绿峰有限公司(PRC合并),,,7/3/2012
KMB0000 - KEEN MIND LIMITED,KMB0000,KEEN MIND LIMITED,KEEN MIND LIMITED,HKD,GPC0100,绿峰有限公司(PRC合并),TRUE,,7/3/2012
KMB0100 - KEEN MIND LIMITED(PRC合并),KMB0100,KEEN MIND LIMITED(PRC合并),KEEN MIND LIMITED(PRC合併),HKD,GPC0100,绿峰有限公司(PRC合并),,TRUE,7/3/2012
KMB0000 - KEEN MIND LIMITED,KMB0000,KEEN MIND LIMITED,KEEN MIND LIMITED,HKD,KMB0100,KEEN MIND LIMITED(PRC合并),,,7/3/2012
LSDF000 - 华润置地(山东)发展有限公司,LSDF000,华润置地(山东)发展有限公司,華潤置地(山東)發展有限公司,CNY,KMB0100,KEEN MIND LIMITED(PRC合并),,,7/3/2012
GZHI100 - GMI Zhengzhou Holdings Inc(PRC合并),GZHI100,GMI Zhengzhou Holdings Inc(PRC合并),GMI Zhengzhou Holdings Inc(PRC合併),HKD,CNIA100,正新投资有限公司(PRC合并),TRUE,,7/3/2012
GZHI190 - GMI Zhengzhou Holdings Inc(PRC虚拟节点),GZHI190,GMI Zhengzhou Holdings Inc(PRC虚拟节点),GMI Zhengzhou Holdings Inc(PRC虛擬節點),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
SVI0180 - 迅景投资有限公司(PRC共同父节点反冲),SVI0180,迅景投资有限公司(PRC共同父节点反冲),迅景投資有限公司(PRC共同父節點反沖),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
RWE0180 - 升凯企业有限公司(PRC共同父节点反冲),RWE0180,升凯企业有限公司(PRC共同父节点反冲),升凱企業有限公司(PRC共同父節點反沖),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
GZHI180 - GMI Zhengzhou Holdings Inc(PRC共同父节点反冲),GZHI180,GMI Zhengzhou Holdings Inc(PRC共同父节点反冲),GMI Zhengzhou Holdings Inc(PRC共同父節點反沖),HKD,CNIA100,正新投资有限公司(PRC合并),,,7/3/2012
COM0000 - 合贸有限公司,COM0000,合贸有限公司,合貿有限公司,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
COR0000 - 丽融有限公司,COR0000,丽融有限公司,麗融有限公司,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
CRA0100 - 中国广告展览有限公司(PRC合并),CRA0100,中国广告展览有限公司(PRC合并),中國廣告展覽有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
CRA0000 - 中国广告展览有限公司,CRA0000,中国广告展览有限公司,中國廣告展覽有限公司,HKD,CRA0100,中国广告展览有限公司(PRC合并),,,7/3/2012
ADV0000 - 中国广告有限公司,ADV0000,中国广告有限公司,中國廣告有限公司,HKD,CRA0100,中国广告展览有限公司(PRC合并),,,7/3/2012
CDC0000 - 思迪展览工程有限公司,CDC0000,思迪展览工程有限公司,思迪展覽工程有限公司,HKD,CRA0100,中国广告展览有限公司(PRC合并),,,7/3/2012
CRDI000 - 华润投资控股有限公司,CRDI000,华润投资控股有限公司,華潤投資控股有限公司,HKD,CRH0100,华润(集团)有限公司(PRC合并),TRUE,,7/3/2012
CRDI100 - 华润投资控股有限公司(PRC合并),CRDI100,华润投资控股有限公司(PRC合并),華潤投資控股有限公司(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
